,post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
16,47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,12,1,andsoitis,2026-04-05 15:40:28.539682,0.07692307692307693,False
17,47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,50,11,ingenika,2026-04-05 15:40:31.395552,0.21568627450980393,False
18,47639727,"When legal sports betting surges, so do Americans' financial problems",sports,198,131,pseudolus,2026-04-05 15:40:45.775466,0.6582914572864321,True
19,47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,396,246,eichin,2026-04-05 15:40:48.496246,0.6196473551637279,True
20,47645468,Writing Lisp is AI resistant and I'm sad,technology,66,69,djha-skin,2026-04-05 15:40:54.723541,1.0298507462686568,False
21,47645817,How Pope Leo is pushing back on divine justification of war,worldnews,25,13,1659447091,2026-04-05 15:41:00.972866,0.5,False
22,47641615,Sopwith – 1984 Game (2000),sports,93,41,elvis70,2026-04-05 15:41:03.763676,0.43617021276595747,False
23,47616157,Software never had a soul,technology,17,15,firloop,2026-04-05 15:41:13.758373,0.8333333333333334,False
24,47647038,An AI bot invited me to its party in Manchester. It was a pretty good night,technology,7,1,mellosouls,2026-04-05 15:41:24.586011,0.125,False
25,47625952,Show HN: I built a frontpage for personal blogs,entertainment,757,190,ramkarthikk,2026-04-05 15:41:32.686895,0.25065963060686014,True
26,47621792,Post Mortem: axios NPM supply chain compromise,technology,278,131,JeanMeche,2026-04-05 15:41:40.655155,0.46953405017921146,True
27,47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,58,5,xbmcuser,2026-04-05 15:41:46.924710,0.0847457627118644,False
28,47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,167,144,lschueller,2026-04-05 15:41:49.678074,0.8571428571428571,True
29,47624645,Show HN: Apfel – The free AI already on your Mac,technology,718,146,franze,2026-04-05 15:41:55.716417,0.20305980528511822,True
30,47633131,"Run Linux containers on Android, no root required",technology,212,82,politelemon,2026-04-05 15:42:01.780541,0.38497652582159625,True
31,47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,394,147,denssumesh,2026-04-05 15:42:08.071726,0.3721518987341772,True
32,47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,533,180,detaro,2026-04-05 15:42:17.920861,0.33707865168539325,True
33,47622616,The Technocracy Movement of the 1930s,technology,166,135,lazydogbrownfox,2026-04-05 15:42:20.660491,0.8083832335329342,True
34,47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",technology,16,12,bring-shrubbery,2026-04-05 15:42:23.534431,0.7058823529411765,False
35,47645976,AI that copied musical artist files copyright claim against artist [updated],technology,58,14,josephcsible,2026-04-05 15:42:26.361080,0.23728813559322035,False
36,47629485,A case study in testing with 100+ Claude agents in parallel,science,50,46,thejash,2026-04-05 15:42:32.785538,0.9019607843137255,False
37,47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,60,angst,2026-04-05 15:42:35.518402,0.9230769230769231,False
38,47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,564,113,AbuAssar,2026-04-05 15:43:02.893216,0.2,True
39,47632503,"Iran strikes leave Amazon availability zones ""hard down"" in Bahrain and Dubai",technology,238,118,upofadown,2026-04-05 15:43:05.631635,0.49372384937238495,True
40,47633640,How to Write Unmaintainable Code (1999),technology,51,16,downbad_,2026-04-05 15:43:09.937700,0.3076923076923077,False
41,47617376,OpenAI Acquires TBPN,technology,238,190,surprisetalk,2026-04-05 15:43:12.673440,0.7949790794979079,True
42,47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,492,358,mooreds,2026-04-05 15:43:18.973480,0.7261663286004056,True
43,47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,11,5,bookmtn,2026-04-05 15:43:27.977721,0.4166666666666667,False
44,47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,48,52,luca-ctx,2026-04-05 15:43:30.742824,1.0612244897959184,False
45,47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,2026-04-05 15:43:33.591968,0.0,False
46,47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,technology,92,37,borski,2026-04-05 15:43:36.502233,0.3978494623655914,False
47,47615002,Qwen3.6-Plus: Towards real world agents,worldnews,586,207,pretext,2026-04-05 15:43:39.204688,0.3526405451448041,True
48,47618189,Tailscale's new macOS home,technology,560,306,tosh,2026-04-05 15:43:47.130908,0.5454545454545454,True
49,47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,150,45,jackson-mcd,2026-04-05 15:43:51.745887,0.2980132450331126,True
50,47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,363,199,sedev,2026-04-05 15:43:56.154607,0.5467032967032966,True
