post_id,title,category,score,num_comments,author,collected_at
47587339,DCJ11Hack+ – DEC PDP/11 based homebrew computer,technology,30,1,zdw,2026-04-05 15:44:16.926296
47645696,Towards end-to-end automation of AI research,technology,6,0,hardmaru,2026-04-05 15:44:19.562434
47644529,Why samurai are cooler than klingons,technology,9,0,mooreds,2026-04-05 15:44:27.348702
47609492,50 years measuring the cleanest air,technology,23,5,defrost,2026-04-05 15:44:30.838735
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,239,138,nickslaughter02,2026-04-05 15:44:35.885693
47640722,12k AI-generated blog posts added in a single commit,technology,145,145,noslop,2026-04-05 15:44:41.150355
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,technology,44,24,tosh,2026-04-05 15:44:43.542119
47608604,Why LLM-Generated Passwords Are Dangerously Insecure,technology,19,24,zdw,2026-04-05 15:44:46.037225
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 15:44:51.070435
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,6,0,Jet_Xu,2026-04-05 15:44:53.499332
47611921,Significant raise of reports,technology,313,155,stratos123,2026-04-05 15:44:55.828147
47636600,"Apple at 50, blind people and our allies shaping Apple accessibility innovation",technology,8,2,sholladay,2026-04-05 15:44:58.430890
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 15:45:00.901113
47620933,Memo: A language that remembers only the last 12 lines of code,technology,57,36,notem,2026-04-05 15:45:03.529153
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05 15:45:09.765587
47621438,Show HN: Made a little Artemis II tracker,entertainment,149,56,codingmoh,2026-04-05 15:45:13.708565
47645100,Mission to Recover Downed F-15E Aircrew,technology,7,0,everybodyknows,2026-04-05 15:45:16.012588
47640984,"Iran's Network of Cameras Bolsters Air Defenses, Expert Says",technology,46,17,uxhacker,2026-04-05 15:45:34.860243
47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 15:45:39.052894
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,295,147,Growtika,2026-04-05 15:45:41.511793
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",technology,96,39,Bender,2026-04-05 15:45:45.241789
47609694,Email obfuscation: What works in 2026?,technology,369,103,jaden,2026-04-05 15:45:48.985569
47639207,Show HN: Tokencap – Token budget enforcement across your AI agents,technology,7,0,pykul,2026-04-05 15:45:51.496445
47592755,OpenAI closes funding round at an $852B valuation,technology,526,493,surprisetalk,2026-04-05 15:45:58.508925
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,87,30,ronfriedhaber,2026-04-05 15:46:02.253955
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,897,432,novaRom,2026-04-05 15:46:11.096508
47643347,OpenRouter Raises $120M at a $1.3B Valuation,technology,9,7,ryanatallah,2026-04-05 15:46:13.460793
47599510,"Random numbers, Persian code: A mysterious signal transfixes radio sleuths",technology,128,121,thinkingemote,2026-04-05 15:46:16.125968
47635340,Let's be Honest about AI Coding,technology,22,3,lordofmoria,2026-04-05 15:46:18.453965
47631648,Automatic Textbook Formalization,entertainment,43,17,tzury,2026-04-05 15:46:22.367363
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-05 15:46:24.695676
47610245,Things I Think I Think... Preferring Local OSS LLMs,technology,53,9,zdw,2026-04-05 15:46:29.702154
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,technology,132,10,01-_-,2026-04-05 15:46:33.327675
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05 15:46:39.629053
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05 15:46:44.685032
47615876,The case for zero-error horizons in trustworthy LLMs,technology,79,113,daigoba66,2026-04-05 15:46:48.275291
47623101,A Rave Review of Superpowers (For Claude Code),technology,46,25,emschwartz,2026-04-05 15:46:50.717167
47620039,"Reporting potholes with an ESP32, LoRA, and AI",technology,33,0,flakespancakes,2026-04-05 15:46:56.979614
47603737,AI for American-produced cement and concrete,technology,223,117,latchkey,2026-04-05 15:47:00.770564
47593634,Ordinary Lab Gloves May Have Skewed Microplastic Data,technology,139,62,WaitWaitWha,2026-04-05 15:47:05.171815
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05 15:47:07.530591
